0: 
1: 415
94: 306,8,380,120,276,258,228,219,97
95: 297,256,71,150,193
96: 46,116,270,131
97: 228,94,276,146,141
98: 257,314,66
99: 406
100: 190,424,320
101: 90,335,139,401,51,311
102: 53,296,150,343,38,116
103: 123,46,257,381,414,117,55,203
104: 415,293,172,345,108
105: 67
106: 238,51,212,306,64,380,120,311,239
107: 187,376,43
108: 427,89,392,104
109: 344,297,156,20,407
110: 315,32,247,124,235
111: 254,268,243
112: 265,38
113: 73
114: 50,381,275,417,418,303,75,229,166,55
115: 234,298
116: 145,270,173,131,138,420,46,96,150,343,102,38
117: 275,103,199,55,179,203,135,137
118: 331,388,421,325
119: 348,385,283
120: 64,8,380,94,143,106,230,121,276,239,142
121: 130,230,149,26,143,205,120,77
122: 130,244,291,191,11,260,317
123: 46,103,330,31,414,149,203
124: 134,15,32,110,247
125: 315,204,338,358,224,41,25,161
126: 2,322,56,333,370
127: 2,322,261,39,56,309
128: 23,404,227
129: 192,185,263
130: 230,121,87,149,122,31,26,244,11,287,203,40
131: 179,362,116,270,173,138,96,169,84
132: 284,79,155,290,396,59,402,382
133: 210,214,244,12,339,300,260
134: 243,34,327,124,278,355,14
135: 11,287,353,155,341,203,267,117,199,179,137,185,263
136: 192,388
137: 263,117,202,394,199,55,135,285
138: 116,270,173,131,265
139: 90,335,101,3,408,81
140: 76,39,370
141: 97
142: 291,191,80,120,25,230
143: 279,48,26,205,288,338,120,121
144: 299,183
145: 116,173,420,343,87,40,188
146: 291,336,74,97
147: 
148: 
149: 130,121,87,31,123,296,193,343,77,203,40
150: 53,296,193,343,102,38,116,95,256
151: 293,352,172,88,415,83,47
152: 213
153: 345,249,318,172,252,93,274
154: 
155: 11,341,135,396,27,132
156: 109,344
157: 402
158: 83,198,85
159: 398,310,60,232,28,249,368
160: 
161: 25,125,8
162: 235,54,57,196,24
163: 233,70
164: 52,201
165: 206,178,16,261,366,387,393
166: 202,75,55,23,114,78
167: 268,174,175
168: 325,65,382
169: 270,131,334
170: 93,303,378,197
171: 281,416,318
172: 293,249,352,151,264,153,345,47,252,104
173: 362,145,116,131,138,259,188
174: 167,175,360,222
175: 35,167,174
176: 242,254
177: 
178: 165,206,408,366,389,387
179: 362,131,420,117,341,203,135,263
180: 50,364,275,417,339,300,210
181: 349
182: 298
183: 209,70,16,144,299
184: 53,296,413,356,77,311,44,397,357,401,383
185: 192,129,421,199,267,135
186: 269,78
187: 412,49,107,43
188: 284,79,145,173,91
189: 322
190: 74,100,213,79,5
191: 291,142,26,244,295,12,230,122
192: 388,129,185,251,394,199,267,136
193: 296,150,343,87,239,149,95,71,6
194: 347,359
195: 258,225,73
196: 162,386,37,76,24
197: 210,18,303,378,170,417,237,229,374
198: 158,403,69
199: 202,251,394,55,418,117,267,135,192,137,185
200: 279,13,26,60,220,272,82,295,12,274
201: 36,44,164,253
202: 251,75,394,166,199,55,137
203: 341,40,135,31,123,46,103,117,130,149,179,420
204: 315,422,288,32,125,235,19,248,41,64
205: 48,310,26,143,36,288,330,77,311,121
206: 165,178,408,16,4
207: 
208: 2,379,225,22
209: 183
210: 197,133,93,12,50,180,417,300
211: 70,7,351,54,57
212: 90,238,51,106,306,380,223
213: 284,354,79,292,190,152,5
214: 133,18,353,267,27,260
215: 49
216: 386,37,57
217: 65,86
218: 
219: 6,228,306,94,276,49
220: 279,200,48,310,60,272,422,221,358,82
221: 422,32,36,30,253,48,220
222: 174,226,360
223: 41,64,8,380,393,2,366,212,389
224: 338,358,125,80,25
225: 208,195
226: 243,321,360,327,222
227: 128,404,303,313,237
228: 6,219,97,94,276
229: 75,237,303,114,197,18,324,374
230: 130,336,121,276,26,120,291,142,191
231: 90,389
232: 31,398,310,159,28,368,50,414
233: 163,44,312
234: 115,37,428
235: 54,56,57,162,204,110,399,41
236: 24,410,247,250
237: 229,303,227,313,197,324,374
238: 90,335,106,212,306,17,49,71
239: 87,276,106,120,193,71,6
240: 361,395,42
241: 61,395,69
242: 176,280
243: 226,34,134,360,254,111,268
244: 31,26,12,339,300,133,130,122,191
245: 35,293,340,345
246: 
247: 110,410,321,124,57,236,250
248: 19,288,204,51,387,64
249: 172,264,153,252,398,13,60,159,274
250: 410,236,247
251: 202,75,391,394,199,418,18,58,192
252: 378,249,172,264,153,93,398,50
253: 61,368,36,201,221
254: 111,176,243
255: 
256: 95,150
257: 98,46,103,414,78
258: 195,94
259: 362,173,33
260: 27,317,133,214,122,11,353
261: 2,127,16,56,165,41,393
262: 307,405,294
263: 129,137,179,362,135,285
264: 249,352,271,172,47,252
265: 112,38,270,138
266: 
267: 353,135,275,418,214,18,199,27,192,185,421
268: 167,111,243
269: 186,23
270: 116,131,138,96,265,169
271: 352,264,28,83,47
272: 15,281,82,200,60,220
273: 
274: 12,249,153,200,13
275: 50,381,364,180,114,418,117,55,267
276: 336,230,87,239,94,120,6,228,219,97
277: 
278: 308,329,355,351,34,134,30
279: 200,48,26,143,220,338,358,295,80
280: 242
281: 171,15,416,318,272,82
282: 
283: 119
284: 86,213,132,188,79,33
285: 84,362,137,263
286: 
287: 11,353,341,135,364,130
288: 422,204,36,248,48,143,205,64,311
289: 92,411
290: 11,336,87,317,74,132,79
291: 146,142,191,336,230,122
292: 213,354,328,348
293: 352,423,172,151,340,35,245,345,104
294: 262
295: 12,80,279,200,26,191
296: 53,150,193,343,184,77,102,149
297: 95,367,332,109,344,91,71,365
298: 182,115,72
299: 144,183
300: 50,180,339,31,398,13,26,244,12,210,133
301: 346,363
302: 403
303: 378,170,227,114,197,237,229
304: 
305: 
306: 380,94,238,106,212,49,219
307: 262,372
308: 52,323,329,278,355,34
309: 127
310: 31,398,48,26,60,205,232,220,159,330,368
311: 184,77,36,288,205,101,51,106
312: 377,62,233,44
313: 227,237
314: 403,98
315: 422,204,110,358,125
316: 62,44
317: 27,260,59,122,11,290,384
318: 14,423,153,171,281
319: 
320: 100,67,424
321: 226,247
322: 2,126,127,379,189
323: 52,308,329
324: 58,374,391,237,229
325: 168,118
326: 
327: 226,134,360,416,14
328: 354,292,349,29,348
329: 308,323,278
330: 61,357,368,31,310,205,123,77
331: 118,396,27,59,388,421
332: 367,297,71,365,425,6
333: 56,126
334: 342,169
335: 90,238,139,401,101,419,81,17
336: 230,87,276,146,291,290,74
337: 29
338: 358,125,224,279,143,80,25
339: 364,180,300,244,133,353
340: 293,423,35,245
341: 11,287,155,203,40,135,179,420
342: 334
343: 296,150,193,102,149,145,116,420,40
344: 367,109,297,17,156
345: 153,245,293,172,104
346: 301,33
347: 194
348: 371,119,292,328
349: 181,91,328,29
350: 52,355,14
351: 278,211,399
352: 293,14,271,423,172,151,264
353: 11,287,267,135,364,339,214,260
354: 213,292,328,5
355: 52,308,278,34,134,350
356: 184,401,383
357: 61,397,330,184
358: 315,422,338,125,82,224,279,220,80
359: 194
360: 226,243,327,174,222
361: 240,397,395,38
362: 179,173,131,84,285,263,259
363: 301,86,33
364: 275,180,339,287,353
365: 425,6,332,297,91
366: 2,165,178,389,387,223,393
367: 332,344,297,71,17
368: 61,330,69,253,28,310,232,159
369: 426
370: 140,126
371: 348
372: 307
373: 52,34
374: 58,324,197,18,237,229
375: 7
376: 43,107
377: 312,62
378: 303,252,170,93,50,417,197
379: 2,322,208,22
380: 306,64,8,223,94,120,106,212
381: 50,275,114,414,103,55
382: 65,402,132,168
383: 42,401,419,53,413,356,184
384: 317,74
385: 119
386: 216,196,24
387: 51,248,165,178,366,393
388: 192,421,118,136,331
389: 231,178,366,223
390: 
391: 251,75,58,324
392: 108,427
393: 41,64,223,165,2,261,366,387
394: 202,251,199,192,137
395: 397,241,361,240
396: 155,27,59,331,132,402
397: 357,395,361,53,184
398: 31,13,310,60,232,159,249,252,50,300
399: 32,351,235,57,19
400: 428
401: 335,101,419,383,413,356,184
402: 157,382,396,132
403: 198,302,314
404: 128,227
405: 262
406: 99
407: 20,109,43
408: 206,178,3,139
409: 
410: 24,236,247,250
411: 289,92
412: 187,49,425
413: 184,401,419,383
414: 50,381,232,123,257,103
415: 1,88,151,47,104
416: 15,327,171,281
417: 50,180,114,378,210,197,18
418: 275,114,18,251,199,267
419: 335,401,81,383,413
420: 179,145,116,46,343,341,203,40
421: 388,185,267,118,331
422: 315,288,204,32,221,358,220
423: 293,14,352,318,340
424: 67,5,100,320
425: 365,6,412,332
426: 369
427: 108,392
428: 37,400,234
