0: 
1: 
2: 225,126,41,208,161,223
77: 44,61,36,205,53,296,149
78: 98,186,103,202
79: 74,87,6,190,132
80: 82,143,338,142
81: 335,17
82: 295,281,80,279,200,220,338
83: 47,264,50,28,271,21,277
84: 285,259,263
85: 52
86: 284,213,91,119
87: 121,122,336,193,40,145,203,290,341,74,79
88: 68,104
89: 108
90: 231,238,335,139,3,101,51
91: 181,173,284,190,86,188,328
92: 
93: 210,252,274,172,50,12,300,170
94: 64,8,258,306,276,120,239,49,97
95: 17,344,20,256
96: 46,66,116,270,38,131
97: 113,94,228,141
98: 78,66,186
99: 
100: 152,190,132
101: 90,139,3,51,311,248,178
102: 296,42,343,116,38,150
103: 31,114,55,186,46,257,78
104: 35,88,245
105: 282,67
106: 64,311,288,248,238,149,120,239
107: 5,43,6
108: 89,293,345,245,172
109: 344,20,297,156
110: 243,124,32,321,134
111: 254
112: 240
113: 195,97,73
114: 31,103,275,55,229,199,170,47,202
115: 72,37
116: 179,270,38,61,46,96,102,343
117: 287,155,130,203,135,341,55,179,137
118: 136,185,331,325,192
119: 86,283
120: 149,230,121,142,276,239,205,64,8,94,106
121: 149,87,276,120,239,336,26,40
122: 87,336,244,130,260,290,27
123: 31,55,61,26,330,46,179,203
124: 226,243,134,110,15,14,272,340,171
125: 143,204,235,41,224
126: 2,56,333,266
127: 261,309,39,194
128: 23,166,47,227
129: 155,135,185,157,263
130: 339,117,203,260,26,244,31,180,122
131: 179,96,169
132: 284,190,290,59,317,74,79,152,100
133: 244,191,180,339,214
134: 124,32,110,278,14,30,221
135: 287,155,117,267,185,129,192,157,263,137
136: 118,18,251,267,331,192
137: 55,117,267,135
138: 150,173
139: 90,335,3,101,44
140: 39,76,189,266
141: 146,97
142: 230,120,338,80,8,146,291
143: 315,288,204,125,41,338,80,64,8,230
144: 183
145: 150,193,343,40,87,188
146: 142,336,74,141
147: 
148: 
149: 121,120,239,77,205,106,193,296,40
150: 145,38,138,256,102,42,343
151: 293,327
152: 168,100,213,132,65
153: 171,345,245,293,327,249
154: 
155: 11,287,117,135,290,341,185,129
156: 109
157: 263,135,129
158: 52,69
159: 200,13,310,60,232,318,14,271,252,50
160: 304
161: 208,8,2,225,25
162: 196,216,24
163: 233,70
164: 201
165: 206,178,16,261,51,223
166: 23,128,47,269
167: 174,268
168: 152,325,59
169: 131
170: 114,229,227,93,303,197
171: 153,226,124,15,272,340
172: 47,264,227,50,293,252,345,108,93
173: 181,91,259,138,188
174: 167,222
175: 
176: 211,57
177: 
178: 165,206,4,3,101,51
179: 116,131,46,123,55,117,203
180: 31,275,244,18,133,339,130,214
181: 173,91,337
182: 298
183: 209,70,144
184: 201,241,61,316,240,314
185: 287,155,267,135,129,331,192,118
186: 46,257,103,78,98
187: 
188: 284,145,173,91
189: 140
190: 284,213,132,292,79,91,100
191: 295,12,244,133,291
192: 267,135,185,118,136
193: 71,296,343,40,149,87,239,145,6,219
194: 347,127
195: 113,22,208,258
196: 39,162,24,76
197: 58,229,170,18,251,303
198: 69
199: 275,114,55,229,18,202,251,267
200: 159,279,13,310,60,220,318,295,82,281,12
201: 44,241,184,253,164,36
202: 251,75,114,55,199,78
203: 130,117,341,123,40,87,179
204: 315,143,235,125,41
205: 48,310,26,330,36,288,61,77,149,120
206: 165,178,16,4
207: 
208: 22,258,161,2,225,195
209: 183
210: 18,93,12,300,229
211: 176,32,70,57
212: 22,258,223,231,238,51,49
213: 284,190,86,292,152
214: 27,331,180,18,133,339,267
215: 17,332,344,71
216: 162,37,234
217: 65
218: 
219: 71,193,306,239,49,6
220: 279,200,310,60,318,272,315,82,281
221: 48,310,278,134,36,30,253
222: 174,226
223: 64,212,248,41,165,2,51
224: 250,125
225: 2,208,161
226: 243,124,321,268,222,340,171
227: 47,172,128,170
228: 5,97
229: 275,114,199,170,210,18,197
230: 142,120,143,338,8
231: 90,238,51,22,212,49
232: 159,13,310,26,330,28,271,50,31
233: 163
234: 16,54,216
235: 204,125,41,54,56,57
236: 24,333,56,247
237: 313,303,324
238: 231,90,212,106,71,306,49
239: 149,306,121,276,120,94,106,71,193,219
240: 62,184,316,112,53,42
241: 201,184,314
242: 280
243: 226,124,32,321,110,34
244: 26,191,180,133,122,291,339,130,260
245: 153,104,293,108
246: 
247: 24,236,250
248: 288,41,311,101,64,223,106
249: 293,14,327,252,153
250: 224,321,15,247
251: 202,75,199,18,58,197,267,136
252: 293,249,345,274,172,50,159,13,12,93
253: 201,61,36,221
254: 280,111
255: 
256: 42,150,95
257: 186,277,103
258: 22,208,212,94,195,49
259: 84,263,173
260: 11,339,130,244,122,27
261: 127,309,16,54,39,165
262: 334,307
263: 157,259,135,129,84,285
264: 47,172,83,50
265: 270,38
266: 140,126
267: 287,135,185,199,18,251,214,331,192,137,136
268: 226,167,340
269: 166
270: 116,38,96,265
271: 28,83,50,159,232
272: 14,124,15,171,60,220,318
273: 45
274: 345,252,12,93
275: 31,180,114,55,229,199,18
276: 121,120,239,336,94
277: 21,83,257
278: 308,134,14,30,221
279: 200,310,60,220,338,295,82
280: 254,242
281: 295,82,200,220,318
282: 105,348
283: 119
284: 190,213,132,86,188,91
285: 84,263
286: 
287: 11,155,117,267,135,185
288: 315,143,248,311,36,205,48,64,106
289: 
290: 11,155,87,122,336,27,317,74,132
291: 244,295,191,142
292: 190,213,328
293: 151,327,252,249,153,345,245,172,108
294: 
295: 82,281,191,279,200,291
296: 53,102,193,343,40,77,149
297: 109,20,43
298: 182
299: 
300: 31,50,13,12,210,93
301: 346
302: 
303: 75,237,313,170,58,324,197
304: 160
305: 
306: 239,238,94,71,49,219
307: 262
308: 34,323,329,278
309: 127,261,16
310: 205,159,279,200,48,13,26,60,220,232,330,221
311: 36,288,248,44,101,106
312: 233
313: 237,303,324
314: 241,184
315: 143,288,204,48,220
316: 44,184,62,240,53
317: 27,59,290,132
318: 159,200,60,220,272,281
319: 
320: 
321: 226,243,110,250
322: 
323: 308,52
324: 58,237,313,75,303
325: 331,59,118,168
326: 
327: 293,151,249,153
328: 292,91,349
329: 308
330: 205,310,26,232,61,31,123
331: 27,214,325,267,185,118,136
332: 215,71,49
333: 24,236,56,126
334: 262
335: 90,139,81,71,17
336: 121,87,122,276,146,290,74
337: 181
338: 279,143,82,80,230,142
339: 130,260,244,180,133,214
340: 14,226,124,268,171
341: 11,155,117,203,87
342: 
343: 102,193,296,40,145,116,150
344: 95,17,109,215,20
345: 153,274,293,252,172,108
346: 33,301
347: 194
348: 282
349: 328
