0: 
1: 
2: 126,261,22,56,208,161,223,41,125
75: 202,251,237,229,58
76: 196,39,140
77: 201,184,253,61,44,36,330,205
78: 55,166,202
79: 354,6,74,365,91,190
80: 224,82,338,358,25,142
81: 335,383,17
82: 224,80,15,272,220,358,200,281
83: 47,264,88,28,271
84: 285,362,131,259
85: 148
86: 284,213,328,363
87: 130,336,121,40,239,276,193,149,145,290,6,228
88: 104,148,151,83
89: 108
90: 238,335,139,101,51,212
91: 349,365,79,354,188
92: 289,242
93: 210,252,172,378,274,50
94: 306,8,380,276,120,97,49,258
95: 367,344,17,297,256,71
96: 46,66,116,270,131
97: 276,94,228,74,141
98: 257,186
99: 
100: 320,384,190,152
101: 90,139,3,51,311,312,233,44
102: 53,296,357,184,361,42,116,38
103: 31,381,275,55,46,257,123,117
104: 88,151,172,264,108
105: 371,282
106: 238,51,212,311,306,64,120
107: 365,43,5
108: 104,89,172
109: 344,297,215
110: 32,57,247,250
111: 254,243
112: 265,38
113: 73
114: 381,275,229,50,166,378,303
115: 72,298,37
116: 179,270,38,150,357,96,46,102,343
117: 287,341,203,135,31,103,55,199,179,137
118: 136,388,325
119: 348,385
120: 230,121,239,276,143,205,106,306,64,8,94,142
121: 130,336,230,87,40,239,276,120,205,193,149
122: 336,244,146,291,11,260,290,27,317
123: 46,61,31,103,203
124: 226,134,15,171,14,272,220
125: 8,161,41,338,2,126,25
126: 2,56,333,161,125
127: 322,39,309
128: 23,369,303
129: 192,263,185,135,157
130: 230,121,87,40,244,26,205,31,203
131: 179,362,270,96,169,84,285
132: 284,188,155,290,317,59,168,152
133: 210,197,180,300,229,339,18,214
134: 124,34,278,14,32
135: 11,287,353,155,341,117,267,199,179,192,263,129,185,137
136: 118,18,192,388
137: 192,55,199,202,117,135
138: 270,150,173
139: 90,335,3,101,312
140: 76,39,370,333
141: 97,74
142: 291,80,25,230,120
143: 288,338,358,279,48,64,8,120
144: 299,4
145: 173,193,343,87,188
146: 291,336,122,290,317,74
147: 
148: 85,88
149: 296,193,330,205,121,87,40
150: 116,270,38,138,173,256,343
151: 293,88,104,264
152: 168,100,384,190,213,132,382
153: 345,252,249,318,172,281,274
154: 209,218
155: 11,341,135,132
156: 207
157: 33,129
158: 52,69
159: 14,271,252,249,13,310,60,232
160: 286
161: 208,8,125,2,126
162: 216,386,57,24
163: 233
164: 52
165: 178,387,261,22,366
166: 114,55,186,269,78
167: 268,174,35,175,360,340
168: 152,132,382,325
169: 131,334
170: 227,378,303,313
171: 222,15,226,124,360,327,272
172: 293,252,249,352,104,153,345,264,108,93
173: 145,150,138,259,188
174: 167,175,360,222
175: 35,167,174
176: 57
177: 
178: 165,206,387,231,3
179: 362,116,131,117,135
180: 31,275,300,229,364,339,210,133,18,267,214
181: 
182: 298
183: 70,16,246,209,299
184: 201,77,241,357,361,356,61,44,316,53,296,102
185: 192,129,388,353,267,135,331
186: 277,269,98,257,166
187: 305
188: 284,132,145,173,91
189: 359,322,370
190: 213,79,354,74,100,152,5
191: 291,295,12,244
192: 129,185,137,388,199,251,267,135,136
193: 296,71,149,343,121,87,40,239,145,6
194: 347,359
195: 258,208
196: 386,76,24
197: 210,133,229,58,18
198: 69,314
199: 55,202,251,117,267,135,192,137
200: 279,13,26,60,272,220,82,295,12,281
201: 77,241,184,253,44,36
202: 251,75,55,199,78,137
203: 341,117,123,31,130,40
204: 315,288,32,235,30,19,41,248
205: 48,310,26,330,77,149,130,121,120
206: 178,387,4,16
207: 156
208: 8,161,2,22,225,195
209: 154,183
210: 197,133,93,378,180,300,229,50
211: 70,57,351
212: 90,238,51,106,389,306,380,366,223,49
213: 284,190,86,382,152
214: 27,331,180,339,133,18,353,267
215: 367,109,344,17
216: 162,386,57,234
217: 65
218: 154
219: 6,228,71,239,49,332
220: 315,358,124,272,82,279,200,48,60
221: 48,310,36,253
222: 171,174,226,360
223: 64,8,380,366,41,248,387,2,261,22,51,212
224: 250,82,80,338,358
225: 208
226: 243,124,222,171
227: 47,170,378,303
228: 219,6,74,87,276,97
229: 275,180,114,210,197,133,75,18
230: 130,336,121,120,244,291,142
231: 389,178
232: 368,13,310,28,159,31,50
233: 163,312,101
234: 216
235: 54,56,204,41
236: 24,247,250
237: 303,75,58,324,374
238: 90,335,51,106,212,306,71,49
239: 121,87,276,120,193,71,219,6
240: 316,361,42
241: 201,184,316
242: 92,280
243: 226,321,34,111
244: 130,230,122,26,31,364,339,191,260
245: 345,293,340
246: 183,299
247: 24,236,110,250
248: 64,223,41,19,288,204,51
249: 293,14,327,252,159,318,172,352,153
250: 224,247,236,110
251: 202,75,199,18,267,192
252: 249,159,172,352,153,13,274,50,93
253: 201,77,61,69,36,221,368
254: 111
255: 
256: 150,95
257: 98,46,186,103
258: 195,49,380,94
259: 362,173,84,263
260: 11,287,339,244,122,27
261: 2,54,56,165,309,387,223,41
262: 307,390,66
263: 129,362,135,285,259
264: 47,83,104,151,172,352
265: 112,270,38
266: 370
267: 353,135,180,199,251,18,214,331,192,185,388
268: 167
269: 277,186,23,166
270: 116,38,150,138,131,96,265
271: 159,352,28,83
272: 318,124,15,171,220,82,200,60,281
273: 45
274: 12,281,252,153,13,93
275: 31,381,103,180,300,114,229,50,364
276: 336,121,87,239,120,97,94,228
277: 186,269
278: 355,134,34,30,32
279: 200,48,310,26,143,220,358
280: 7,242
281: 274,272,318,153,82,200
282: 105,371
283: 385
284: 213,132,86,188
285: 84,362,131,263
286: 160
287: 11,353,341,117,260,135
288: 143,204,36,30,48,311,64,248
289: 92
290: 11,336,87,122,146,317,74,132
291: 146,142,191,336,230,122
292: 348
293: 151,249,172,340,245,345
294: 342
295: 12,200,191
296: 53,102,193,149,343,357,184
297: 95,367,109,20,365
298: 182,115,72
299: 144,183,246
300: 31,275,180,50,364,12,210,133
301: 346
302: 
303: 170,227,378,237,128,114
304: 
305: 187
306: 64,380,94,238,106,212,120,49
307: 262
308: 52,350
309: 16,261,127
310: 221,368,279,48,13,26,60,330,205,232,159
311: 101,51,106,36,288,44,64
312: 233,139,101
313: 170
314: 198
315: 204,32,220,358
316: 240,241,184,361,356
317: 27,59,122,146,290,132
318: 14,327,272,249,153,281
319: 
320: 100
321: 243
322: 127,189
323: 329,52
324: 58,374,237
325: 59,118,168
326: 
327: 14,249,318,171
328: 86,349,348
329: 323
330: 368,310,26,205,77,61,31,149
331: 27,214,59,353,267,185,388
332: 367,71,49,219,6
333: 56,140,126
334: 342,169
335: 90,238,139,81,17
336: 230,121,87,276,122,146,291,290
337: 20
338: 143,358,224,80,8,125,25
339: 180,364,133,244,260,214
340: 293,167,360,245
341: 11,287,155,117,203,135
342: 334,294
343: 296,193,40,145,116,150
344: 95,367,109,17,215
345: 153,245,293,172
346: 301,33
347: 194
348: 292,119,328
349: 91,328
350: 52,308,34
351: 57,211
352: 271,252,249,172,264
353: 11,287,267,135,27,214,331,185
354: 79,91,190,5
355: 278,34
356: 184,44,62,316,53
357: 184,61,296,102,116
358: 315,143,338,220,224,82,80,279
359: 194,189
360: 167,174,222,171,340
361: 184,240,316,42,102,38
362: 179,131,84,285,263,259
363: 86
364: 31,275,180,300,339,244
365: 297,107,79,6,91
366: 223,165,22,51,212,389
367: 95,332,344,17,297,215,71
368: 310,330,232,253,61,31
369: 128
370: 266,189,140
371: 105,282
372: 
373: 34
374: 58,324,237
375: 7
376: 43
377: 
378: 170,227,303,114,50,210,93
379: 
380: 306,64,8,223,94,212,49,258
381: 31,103,275,114,50
382: 213,168,152,65
383: 42,81
384: 100,74,152
385: 119,283
386: 196,216,162,24
387: 165,206,178,261,51,223
388: 192,185,267,331,118,136
389: 231,212,22,366
390: 262
